level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0.000000	0.000000	842.000000	595.000000	-1	###PAGE###
3	1	0	0	0	0	403.150000	17.340430	36.061025	7.387050	-1	###FLOW###
4	1	0	0	0	0	403.150000	17.340430	36.061025	7.387050	-1	###LINE###
5	1	0	0	0	0	403.15	17.34	11.81	7.39	100	Page
5	1	0	0	0	1	415.80	17.34	3.07	7.39	100	1
5	1	0	0	0	2	420.20	17.34	5.15	7.39	100	of
5	1	0	0	0	3	426.24	17.34	12.97	7.39	100	1271
3	1	1	0	0	0	256.300000	37.219630	328.502790	29.201700	-1	###FLOW###
4	1	1	0	0	0	409.200000	37.219630	23.554300	9.401700	-1	###LINE###
5	1	1	0	0	0	409.20	37.22	12.38	9.40	100	Phụ
5	1	1	0	0	1	423.49	37.22	9.26	9.40	100	lục
4	1	1	0	1	0	279.950000	47.119630	282.790200	9.401700	-1	###LINE###
5	1	1	0	1	0	279.95	47.12	17.34	9.40	100	Danh
5	1	1	0	1	1	299.20	47.12	13.67	9.40	100	mục
5	1	1	0	1	2	314.61	47.12	9.86	9.40	100	mã
5	1	1	0	1	3	326.16	47.12	16.79	9.40	100	bệnh
5	1	1	0	1	4	344.86	47.12	15.14	9.40	100	theo
5	1	1	0	1	5	361.91	47.12	16.79	9.40	100	phân
5	1	1	0	1	6	380.62	47.12	11.79	9.40	100	loại
5	1	1	0	1	7	393.82	47.12	16.43	9.40	100	quốc
5	1	1	0	1	8	411.98	47.12	6.62	9.40	100	tế
5	1	1	0	1	9	420.22	47.12	16.79	9.40	100	bệnh
5	1	1	0	1	10	438.93	47.12	11.33	9.40	100	tật,
5	1	1	0	1	11	452.12	47.12	24.49	9.40	100	nguyên
5	1	1	0	1	12	478.53	47.12	16.79	9.40	100	nhân
5	1	1	0	1	13	497.23	47.12	7.73	9.40	100	tử
5	1	1	0	1	14	506.58	47.12	16.31	9.40	100	vong
5	1	1	0	1	15	524.73	47.12	15.14	9.40	100	theo
5	1	1	0	1	16	541.78	47.12	20.96	9.40	100	ICD-10
4	1	1	0	2	0	256.300000	57.019630	100.179310	9.401700	-1	###LINE###
5	1	1	0	2	0	256.30	57.02	14.41	9.40	100	(Ban
5	1	1	0	2	1	272.25	57.02	15.50	9.40	100	hành
5	1	1	0	2	2	289.29	57.02	13.24	9.40	100	kèm
5	1	1	0	2	3	304.15	57.02	14.39	9.40	100	theo
5	1	1	0	2	4	320.09	57.02	19.35	9.40	100	Thông
5	1	1	0	2	5	340.98	57.02	7.30	9.40	100	tư
5	1	1	0	2	6	349.78	57.02	6.70	9.40	100	số
4	1	1	0	3	0	377.868370	57.019630	59.514840	9.401700	-1	###LINE###
5	1	1	0	3	0	377.87	57.02	42.78	9.40	100	/2026/TT-BYT
5	1	1	0	3	1	422.40	57.02	14.98	9.40	100	ngày
4	1	1	0	4	0	452.121010	57.019630	132.681780	9.401700	-1	###LINE###
5	1	1	0	4	0	452.12	57.02	18.25	9.40	100	tháng
5	1	1	0	4	1	481.83	57.02	13.79	9.40	100	năm
5	1	1	0	4	2	497.23	57.02	15.45	9.40	100	2026
5	1	1	0	4	3	514.27	57.02	11.11	9.40	100	của
5	1	1	0	4	4	526.92	57.02	8.35	9.40	100	Bộ
5	1	1	0	4	5	536.83	57.02	22.10	9.40	100	trưởng
5	1	1	0	4	6	560.47	57.02	8.35	9.40	100	Bộ
5	1	1	0	4	7	570.37	57.02	3.75	9.40	100	Y
5	1	1	0	4	8	575.88	57.02	8.93	9.40	100	tế)
3	1	2	0	0	0	439.500000	55.289727	13.000000	12.067717	-1	###FLOW###
4	1	2	0	0	0	439.500000	55.289727	13.000000	12.067717	-1	###LINE###
5	1	2	0	0	0	439.50	55.29	13.00	12.07	100	02
3	1	3	0	0	0	361.500000	56.491000	13.000000	11.804000	-1	###FLOW###
4	1	3	0	0	0	361.500000	56.491000	13.000000	11.804000	-1	###LINE###
5	1	3	0	0	0	361.50	56.49	13.00	11.80	100	06
3	1	4	0	0	0	22.000000	70.061230	6.578000	5.372400	-1	###FLOW###
4	1	4	0	0	0	22.000000	70.061230	6.578000	5.372400	-1	###LINE###
5	1	4	0	0	0	22.00	70.06	6.58	5.37	100	STT
3	1	5	0	0	0	32.450000	70.061230	32.995600	23.522400	-1	###FLOW###
4	1	5	0	0	0	37.400000	70.061230	6.578000	5.372400	-1	###LINE###
5	1	5	0	0	0	37.40	70.06	6.58	5.37	100	STT
4	1	5	0	1	0	53.900000	70.061230	11.545600	5.372400	-1	###LINE###
5	1	5	0	1	0	53.90	70.06	11.55	5.37	100	PHẠM
4	1	5	0	2	0	32.450000	76.111230	32.916400	5.372400	-1	###LINE###
5	1	5	0	2	0	32.45	76.11	17.10	5.37	100	CHƯƠNG
5	1	5	0	2	1	53.90	76.11	3.92	5.37	100	VI
5	1	5	0	2	2	58.85	76.11	6.52	5.37	100	MÃ
4	1	5	0	3	0	53.350000	82.161230	12.095600	5.372400	-1	###LINE###
5	1	5	0	3	0	53.35	82.16	12.10	5.37	100	NHÓM
4	1	5	0	4	0	55.000000	88.211230	9.926400	5.372400	-1	###LINE###
5	1	5	0	4	0	55.00	88.21	9.93	5.37	100	BỆNH
3	1	6	0	0	0	24.200000	106.911230	2.230800	5.372400	-1	###FLOW###
4	1	6	0	0	0	24.200000	106.911230	2.230800	5.372400	-1	###LINE###
5	1	6	0	0	0	24.20	106.91	2.23	5.37	100	1
3	1	7	0	0	0	40.150000	106.911230	2.230800	5.372400	-1	###FLOW###
4	1	7	0	0	0	40.150000	106.911230	2.230800	5.372400	-1	###LINE###
5	1	7	0	0	0	40.15	106.91	2.23	5.37	100	2
3	1	8	0	0	0	19.250000	114.611230	2.230800	5.372400	-1	###FLOW###
4	1	8	0	0	0	19.250000	114.611230	2.230800	5.372400	-1	###LINE###
5	1	8	0	0	0	19.25	114.61	2.23	5.37	100	1
3	1	9	0	0	0	32.450000	114.611230	1.108800	5.372400	-1	###FLOW###
4	1	9	0	0	0	32.450000	114.611230	1.108800	5.372400	-1	###LINE###
5	1	9	0	0	0	32.45	114.61	1.11	5.37	100	I
3	1	10	0	0	0	19.250000	126.711230	2.230800	5.372400	-1	###FLOW###
4	1	10	0	0	0	19.250000	126.711230	2.230800	5.372400	-1	###LINE###
5	1	10	0	0	0	19.25	126.71	2.23	5.37	100	2
3	1	11	0	0	0	32.450000	126.711230	1.108800	5.372400	-1	###FLOW###
4	1	11	0	0	0	32.450000	126.711230	1.108800	5.372400	-1	###LINE###
5	1	11	0	0	0	32.45	126.71	1.11	5.37	100	I
3	1	12	0	0	0	19.250000	144.861230	2.230800	5.372400	-1	###FLOW###
4	1	12	0	0	0	19.250000	144.861230	2.230800	5.372400	-1	###LINE###
5	1	12	0	0	0	19.25	144.86	2.23	5.37	100	3
3	1	13	0	0	0	58.850000	106.911230	2.230800	5.372400	-1	###FLOW###
4	1	13	0	0	0	58.850000	106.911230	2.230800	5.372400	-1	###LINE###
5	1	13	0	0	0	58.85	106.91	2.23	5.37	100	3
3	1	14	0	0	0	77.000000	70.061230	29.647200	5.372400	-1	###FLOW###
4	1	14	0	0	0	77.000000	70.061230	29.647200	5.372400	-1	###LINE###
5	1	14	0	0	0	77.00	70.06	16.78	5.37	100	CHAPTER
5	1	14	0	0	1	95.15	70.06	11.50	5.37	100	NAME
3	1	15	0	0	0	90.750000	106.911230	2.230800	5.372400	-1	###FLOW###
4	1	15	0	0	0	90.750000	106.911230	2.230800	5.372400	-1	###LINE###
5	1	15	0	0	0	90.75	106.91	2.23	5.37	100	4
3	1	16	0	0	0	123.200000	70.061230	25.352800	5.372400	-1	###FLOW###
4	1	16	0	0	0	123.200000	70.061230	25.352800	5.372400	-1	###LINE###
5	1	16	0	0	0	123.20	70.06	7.30	5.37	100	TÊN
5	1	16	0	0	1	131.45	70.06	17.10	5.37	100	CHƯƠNG
3	1	17	0	0	0	158.400000	70.061230	16.574800	5.372400	-1	###FLOW###
4	1	17	0	0	0	158.400000	70.061230	16.574800	5.372400	-1	###LINE###
5	1	17	0	0	0	158.40	70.06	6.52	5.37	100	MÃ
5	1	17	0	0	1	166.10	70.06	8.87	5.37	100	KHỐI
3	1	18	0	0	0	134.750000	106.911230	2.230800	5.372400	-1	###FLOW###
4	1	18	0	0	0	134.750000	106.911230	2.230800	5.372400	-1	###LINE###
5	1	18	0	0	0	134.75	106.91	2.23	5.37	100	5
3	1	19	0	0	0	165.550000	106.911230	2.230800	5.372400	-1	###FLOW###
4	1	19	0	0	0	165.550000	106.911230	2.230800	5.372400	-1	###LINE###
5	1	19	0	0	0	165.55	106.91	2.23	5.37	100	6
3	1	20	0	0	0	184.250000	70.061230	23.597200	5.372400	-1	###FLOW###
4	1	20	0	0	0	184.250000	70.061230	23.597200	5.372400	-1	###LINE###
5	1	20	0	0	0	184.25	70.06	11.21	5.37	100	BLOCK
5	1	20	0	0	1	196.35	70.06	11.50	5.37	100	NAME
3	1	21	0	0	0	194.700000	106.911230	2.230800	5.372400	-1	###FLOW###
4	1	21	0	0	0	194.700000	106.911230	2.230800	5.372400	-1	###LINE###
5	1	21	0	0	0	194.70	106.91	2.23	5.37	100	7
3	1	22	0	0	0	229.350000	70.061230	17.124800	5.372400	-1	###FLOW###
4	1	22	0	0	0	229.350000	70.061230	17.124800	5.372400	-1	###LINE###
5	1	22	0	0	0	229.35	70.06	7.30	5.37	100	TÊN
5	1	22	0	0	1	237.60	70.06	8.87	5.37	100	KHỐI
3	1	23	0	0	0	237.050000	106.911230	2.230800	5.372400	-1	###FLOW###
4	1	23	0	0	0	237.050000	106.911230	2.230800	5.372400	-1	###LINE###
5	1	23	0	0	0	237.05	106.91	2.23	5.37	100	8
3	1	24	0	0	0	260.700000	70.061230	61.190800	17.472400	-1	###FLOW###
4	1	24	0	0	0	260.700000	70.061230	61.173200	5.372400	-1	###LINE###
5	1	24	0	0	0	260.70	70.06	6.52	5.37	100	MÃ
5	1	24	0	0	1	268.40	70.06	8.37	5.37	100	TIỂU
5	1	24	0	0	2	281.05	70.06	10.43	5.37	100	FIRST
5	1	24	0	0	3	292.60	70.06	8.50	5.37	100	SUB-
5	1	24	0	0	4	305.25	70.06	7.30	5.37	100	TÊN
5	1	24	0	0	5	313.50	70.06	8.37	5.37	100	TIỂU
4	1	24	0	1	0	264.550000	76.111230	8.874800	5.372400	-1	###LINE###
5	1	24	0	1	0	264.55	76.11	8.87	5.37	100	KHỐI
4	1	24	0	2	0	282.150000	76.111230	39.740800	5.372400	-1	###LINE###
5	1	24	0	2	0	282.15	76.11	16.65	5.37	100	DIVISION
5	1	24	0	2	1	304.70	76.11	8.87	5.37	100	KHỐI
5	1	24	0	2	2	314.60	76.11	7.29	5.37	100	CẤP
4	1	24	0	3	0	264.000000	82.161230	10.480800	5.372400	-1	###LINE###
5	1	24	0	3	0	264.00	82.16	7.29	5.37	100	CẤP
5	1	24	0	3	1	272.25	82.16	2.23	5.37	100	1
4	1	24	0	4	0	285.450000	82.161230	11.497200	5.372400	-1	###LINE###
5	1	24	0	4	0	285.45	82.16	11.50	5.37	100	NAME
4	1	24	0	5	0	312.950000	82.161230	2.230800	5.372400	-1	###LINE###
5	1	24	0	5	0	312.95	82.16	2.23	5.37	100	1
3	1	25	0	0	0	267.850000	106.911230	2.230800	5.372400	-1	###FLOW###
4	1	25	0	0	0	267.850000	106.911230	2.230800	5.372400	-1	###LINE###
5	1	25	0	0	0	267.85	106.91	2.23	5.37	100	9
3	1	26	0	0	0	288.750000	106.911230	4.430800	5.372400	-1	###FLOW###
4	1	26	0	0	0	288.750000	106.911230	4.430800	5.372400	-1	###LINE###
5	1	26	0	0	0	288.75	106.91	4.43	5.37	100	10
3	1	27	0	0	0	311.850000	106.911230	4.430800	5.372400	-1	###FLOW###
4	1	27	0	0	0	311.850000	106.911230	4.430800	5.372400	-1	###LINE###
5	1	27	0	0	0	311.85	106.91	4.43	5.37	100	11
3	1	28	0	0	0	327.800000	70.061230	10.480800	23.522400	-1	###FLOW###
4	1	28	0	0	0	329.450000	70.061230	6.516400	5.372400	-1	###LINE###
5	1	28	0	0	0	329.45	70.06	6.52	5.37	100	MÃ
4	1	28	0	1	0	328.350000	76.111230	8.373200	5.372400	-1	###LINE###
5	1	28	0	1	0	328.35	76.11	8.37	5.37	100	TIỂU
4	1	28	0	2	0	328.350000	82.161230	8.874800	5.372400	-1	###LINE###
5	1	28	0	2	0	328.35	82.16	8.87	5.37	100	KHỐI
4	1	28	0	3	0	327.800000	88.211230	10.480800	5.372400	-1	###LINE###
5	1	28	0	3	0	327.80	88.21	7.29	5.37	100	CẤP
5	1	28	0	3	1	336.05	88.21	2.23	5.37	100	2
3	1	29	0	0	0	345.950000	70.061230	16.649600	23.522400	-1	###FLOW###
4	1	29	0	0	0	347.050000	70.061230	14.872000	5.372400	-1	###LINE###
